name,P_c,T_c,V_c,rho_c
,-1.0,-1.0,-1.0,-1.0
Furan,53.2,490.2,0.219,-1.0
1H-Imidazole,-1.0,-1.0,-1.0,-1.0
1H-Pyrazole,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Cyclobutene, 1-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Butyne, 3-methyl-",-1.0,-1.0,-1.0,-1.0
"1,2-Butadiene, 3-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Bicyclo[2.1.0]pentane,-1.0,-1.0,-1.0,-1.0
Cyclopentene,48.0,506.5,0.245,4.08
,-1.0,-1.0,-1.0,-1.0
Isoprene,-1.0,-1.0,-1.0,-1.0
"Cyclobutane, methylene-",-1.0,-1.0,-1.0,-1.0
1-Pentyne,-1.0,-1.0,-1.0,-1.0
2-Pentyne,-1.0,-1.0,-1.0,-1.0
"1,2-Pentadiene",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,4-Pentadiene",-1.0,-1.0,-1.0,-1.0
"2,3-Pentadiene",-1.0,-1.0,-1.0,-1.0
Spiropentane,-1.0,506.4,-1.0,-1.0
"Cyclopropane,ethenyl-",-1.0,-1.0,-1.0,-1.0
"Methane, chlorofluoro-",-1.0,-1.0,-1.0,-1.0
Acetyl cyanide,-1.0,-1.0,-1.0,-1.0
Isoxazole,61.0,590.0,-1.0,5.237
Oxazole,-1.0,-1.0,-1.0,-1.0
"1H-1,2,4-Triazole",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1H-Pyrrole, 2,5-dihydro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
1-Pyrroline,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Butanenitrile,38.0,585.4,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Isobutyronitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Fluoroform,48.28,299.1,-1.0,7.5
,-1.0,-1.0,-1.0,-1.0
Propiolic acid,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
1H-Tetrazole,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Vinyl ether,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Furan, 2,3-dihydro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Furan, 2,5-dihydro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Oxirane, ethenyl-",-1.0,-1.0,-1.0,-1.0
Methyl propargyl ether,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
2-Butyn-1-ol,-1.0,-1.0,-1.0,-1.0
Methyl vinyl ketone,-1.0,-1.0,-1.0,-1.0
3-Butyn-1-ol,-1.0,-1.0,-1.0,-1.0
3-Butyn-2-ol,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Cyclobutanone,-1.0,-1.0,-1.0,-1.0
Ethoxyacetylene,-1.0,-1.0,-1.0,-1.0
Methacrolein,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
3-Aminopropionitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Cyanamide, dimethyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Cyclopropane, 1,1-dimethyl-",-1.0,-1.0,-1.0,-1.0
"Cyclopropane, 1,2-dimethyl-, trans-",-1.0,-1.0,-1.0,-1.0
2-Methyl-1-butene,-1.0,470.0,-1.0,-1.0
"2-Butene, 2-methyl-",34.2,470.0,-1.0,-1.0
"1-Butene, 3-methyl-",35.3,452.7,0.3049,3.28
Cyclopentane,45.1,511.7,0.259,3.85
"Cyclopropane, ethyl-",-1.0,-1.0,-1.0,-1.0
"Cyclobutane, methyl-",-1.0,-1.0,-1.0,-1.0
1-Pentene,35.6,464.8,0.2984,3.35
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Propanenitrile, 2-hydroxy-",-1.0,-1.0,-1.0,-1.0
Methoxyacetonitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Propanenitrile, 3-hydroxy-",-1.0,-1.0,-1.0,-1.0
2-Propenamide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
2-Azetidinone,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
CH3CH2NNN,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Cyclobutylamine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
N-Methylallylamine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Methyl glyoxal,-1.0,-1.0,-1.0,-1.0
2-Propenoic acid,52.4273,616.57,-1.0,-1.0
Propiolactone,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Isobutylene epoxide,-1.0,-1.0,-1.0,-1.0
"2,3-Epoxybutane",-1.0,-1.0,-1.0,-1.0
"Oxirane, ethyl-",-1.0,-1.0,-1.0,-1.0
"1-Propene, 2-methoxy-",-1.0,-1.0,-1.0,-1.0
"2-Propen-1-ol, 2-methyl-",-1.0,-1.0,-1.0,-1.0
"1-Propene, 3-methoxy-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
2-Buten-1-ol,-1.0,-1.0,-1.0,-1.0
3-Buten-1-ol,-1.0,-1.0,-1.0,-1.0
3-Buten-2-ol,-1.0,-1.0,-1.0,-1.0
2-Butanone,42.0,535.0,-1.0,3.74
Butanal,43.2,537.1,-1.0,3.88
Cyclobutanol,-1.0,-1.0,-1.0,-1.0
Cyclopropyl carbinol,-1.0,-1.0,-1.0,-1.0
"Ethene, ethoxy-",40.7479,475.0,-1.0,-1.0
"Propanal, 2-methyl-",-1.0,-1.0,-1.0,-1.0
cyclopropyl methyl ether,-1.0,-1.0,-1.0,-1.0
Tetrahydrofuran,51.9,540.2,0.225,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Pyrazolidine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Butane, 2-methyl-",33.8,461.0,0.306,3.27
Neopentane,32.0,433.8,0.307,3.26
Pentane,33.6,469.8,0.311,3.22
,-1.0,-1.0,-1.0,-1.0
Nitroethylene,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Formamide, N,N-dimethyl-",-1.0,649.6,-1.0,3.82
,-1.0,-1.0,-1.0,-1.0
N-Ethylformamide,-1.0,-1.0,-1.0,-1.0
"Acetamide, N-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"2-Propanone, oxime",-1.0,-1.0,-1.0,-1.0
Propanamide,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Methane, isothiocyanato-",-1.0,-1.0,-1.0,-1.0
"Thiocyanic acid, methyl ester",-1.0,-1.0,-1.0,-1.0
Isobutylamine,-1.0,516.9,-1.0,-1.0
"2-Propanamine, 2-methyl-",38.4,483.9,-1.0,3.42
1-Butanamine,42.0,524.0,-1.0,-1.0
"2-Butanamine, (S)-",-1.0,509.4,-1.0,-1.0
"Ethanamine, N-ethyl-",37.48,498.0,-1.0,3.32
"Ethanamine, N,N-dimethyl-",-1.0,-1.0,-1.0,-1.0
methylpropylamine,-1.0,-1.0,-1.0,-1.0
"2-Propanamine, N-methyl-",-1.0,490.7,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Dioxolane",-1.0,-1.0,-1.0,-1.0
"2-Propanone, 1-hydroxy-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
3-hydroxypropionaldehyde,-1.0,-1.0,-1.0,-1.0
Ethyl formate,47.38,508.0,-1.0,4.363
"Acetic acid, methyl ester",47.5,510.0,-1.0,4.394
,-1.0,-1.0,-1.0,-1.0
Glycidol,-1.0,-1.0,-1.0,-1.0
Propanoic acid,46.68,607.0,-1.0,4.51
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Urea, methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Acetic acid, hydrazide",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
N-Nitrosodimethylamine,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Methyl propyl ether,38.01,476.3,-1.0,-1.0
